"Transmitter Name","Transmitter ID"
"Satellite/SA0201/Sensor/F/Transmitter/BF",0

"Receiver Name","Receiver ID"
"Satellite/SA0211/Sensor/F/Receiver/RF",0

"Time (UTCG)","Link To ID","Xmtr Power (dBW)","Xmtr Gain (dB)","EIRP (dBW)","Xmtr Azimuth - Phi (deg)","Xmtr Elevation - Theta (deg)","Range (km)","Rcvr Azimuth - Phi (deg)","Rcvr Elevation - Theta (deg)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Carrier Power at Rcvr Input (dBW)","Flux Density (dBW/m^2)","Rcvr Gain (dB)","Free Space Loss (dB)","Atmos Loss (dB)","Rain Loss (dB)","CloudsFog Losss (dB)","TropoScintill Loss (dB)","Prop Loss (dB)","Train (K)","Tatmos (K)","TcloudsFog (K)","TtropoScintill (K)","Tsun (K)","Tearth (K)","Tcosmic (K)","Tother (K)","Tantenna (K)","Tequiv (K)","g/T (dB/K)","C/No (dB*Hz)","C/(No+Io) (dB*Hz)","Bandwidth (MHz)","Bandwidth Overlap (units)","Pol. Rel. Angle (deg)","Polarization Effic (dB)","C/N (dB)","C/(N+I) (dB)","Eb/No (dB)","Eb/(No+Io) (dB)","BER","BER+I","C/I (dB)","DeltaT/T (dB)","Pwr Flux Density (dBW/m^2)"
27 Mar 2026 04:31:00.000,0,16.990,41.8926,58.882,0.007,0.000,3965.8932,359.936,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:32:00.000,0,16.990,41.8926,58.882,359.999,0.000,3965.8932,359.929,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:33:00.000,0,16.990,41.8926,58.882,359.991,0.000,3965.8932,359.922,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:34:00.000,0,16.990,41.8926,58.882,359.982,0.000,3965.8932,359.915,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:35:00.000,0,16.990,41.8926,58.882,359.974,0.000,3965.8932,359.909,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:36:00.000,0,16.990,41.8926,58.882,359.966,0.000,3965.8932,359.903,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:37:00.000,0,16.990,41.8926,58.882,359.958,0.000,3965.8932,359.898,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:38:00.000,0,16.990,41.8926,58.882,359.950,0.000,3965.8932,359.893,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:39:00.000,0,16.990,41.8926,58.882,359.943,0.000,3965.8932,359.888,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:40:00.000,0,16.990,41.8926,58.882,359.935,0.000,3965.8932,359.884,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:41:00.000,0,16.990,41.8926,58.882,359.928,0.000,3965.8932,359.881,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:42:00.000,0,16.990,41.8926,58.882,359.921,0.000,3965.8932,359.878,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:43:00.000,0,16.990,41.8926,58.882,359.915,0.000,3965.8932,359.875,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:44:00.000,0,16.990,41.8926,58.882,359.909,0.000,3965.8932,359.873,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:45:00.000,0,16.990,41.8926,58.882,359.903,0.000,3965.8932,359.871,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:46:00.000,0,16.990,41.8926,58.882,359.897,0.000,3965.8932,359.870,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:47:00.000,0,16.990,41.8926,58.882,359.892,0.000,3965.8932,359.870,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:48:00.000,0,16.990,41.8926,58.882,359.888,0.000,3965.8932,359.870,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:49:00.000,0,16.990,41.8926,58.882,359.884,0.000,3965.8932,359.870,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
