"Transmitter Name","Transmitter ID"
"Satellite/SA0201/Sensor/L/Transmitter/BL",0

"Receiver Name","Receiver ID"
"Satellite/SA0101/Sensor/L/Receiver/RL",0

"Time (UTCG)","Link To ID","Xmtr Power (dBW)","Xmtr Gain (dB)","EIRP (dBW)","Xmtr Azimuth - Phi (deg)","Xmtr Elevation - Theta (deg)","Range (km)","Rcvr Azimuth - Phi (deg)","Rcvr Elevation - Theta (deg)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Carrier Power at Rcvr Input (dBW)","Flux Density (dBW/m^2)","Rcvr Gain (dB)","Free Space Loss (dB)","Atmos Loss (dB)","Rain Loss (dB)","CloudsFog Losss (dB)","TropoScintill Loss (dB)","Prop Loss (dB)","Train (K)","Tatmos (K)","TcloudsFog (K)","TtropoScintill (K)","Tsun (K)","Tearth (K)","Tcosmic (K)","Tother (K)","Tantenna (K)","Tequiv (K)","g/T (dB/K)","C/No (dB*Hz)","C/(No+Io) (dB*Hz)","Bandwidth (MHz)","Bandwidth Overlap (units)","Pol. Rel. Angle (deg)","Polarization Effic (dB)","C/N (dB)","C/(N+I) (dB)","Eb/No (dB)","Eb/(No+Io) (dB)","BER","BER+I","C/I (dB)","DeltaT/T (dB)","Pwr Flux Density (dBW/m^2)"
27 Mar 2026 04:20:00.000,0,16.990,41.8926,58.882,8.785,0.000,2919.8333,66.519,0.001,40.000,-134.914,-99.042,-81.4170,35.8720,193.7961,0.0000,0.0000,0.0000,0.0000,193.7961,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2481,104.9334,104.9334,50.0000,1.0000,0.000,0.0000,27.9437,27.9437,24.9334,24.9334,5.2145e-23,5.2145e-23,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:21:00.000,0,16.990,41.8926,58.882,351.012,0.000,2882.1194,63.294,0.001,40.000,-134.801,-98.929,-81.3040,35.8720,193.6832,0.0000,0.0000,0.0000,0.0000,193.6832,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,105.0463,105.0463,50.0000,1.0000,0.000,0.0000,28.0566,28.0566,25.0463,25.0463,1.4768e-23,1.4768e-23,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:22:00.000,0,16.990,41.8926,58.882,334.126,0.000,2855.3865,58.918,0.001,40.000,-134.720,-98.848,-81.2231,35.8720,193.6023,0.0000,0.0000,0.0000,0.0000,193.6023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,105.1272,105.1272,50.0000,1.0000,0.000,0.0000,28.1375,28.1375,25.1272,25.1272,5.8592e-24,5.8592e-24,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:23:00.000,0,16.990,41.8926,58.882,320.588,0.000,2840.3891,52.867,0.000,40.000,-134.674,-98.802,-81.1773,35.8720,193.5565,0.0000,0.0000,0.0000,0.0000,193.5565,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,105.1729,105.1729,50.0000,1.0000,0.000,0.0000,28.1832,28.1832,25.1729,25.1729,3.4488e-24,3.4488e-24,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:24:00.000,0,16.990,41.8926,58.882,310.684,0.000,2837.5612,44.387,0.000,40.000,-134.666,-98.794,-81.1687,35.8720,193.5479,0.0000,0.0000,0.0000,0.0000,193.5479,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,105.1816,105.1816,50.0000,1.0000,0.000,0.0000,28.1919,28.1919,25.1816,25.1816,3.1181e-24,3.1181e-24,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:25:00.000,0,16.990,41.8926,58.882,303.622,0.001,2846.9852,32.587,0.000,40.000,-134.694,-98.822,-81.1975,35.8720,193.5767,0.0000,0.0000,0.0000,0.0000,193.5767,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,105.1528,105.1528,50.0000,1.0000,0.000,0.0000,28.1631,28.1631,25.1528,25.1528,4.3594e-24,4.3594e-24,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:26:00.000,0,16.990,41.8926,58.882,298.552,0.001,2868.3869,17.078,0.000,40.000,-134.759,-98.887,-81.2625,35.8720,193.6417,0.0000,0.0000,0.0000,0.0000,193.6417,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,105.0877,105.0877,50.0000,1.0000,0.000,0.0000,28.0980,28.0980,25.0877,25.0877,9.2174e-24,9.2174e-24,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:27:00.000,0,16.990,41.8926,58.882,294.849,0.001,2901.1542,359.286,0.000,40.000,-134.858,-98.986,-81.3612,35.8720,193.7404,0.0000,0.0000,0.0000,0.0000,193.7404,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,104.9891,104.9891,50.0000,1.0000,0.000,0.0000,27.9994,27.9994,24.9891,24.9891,2.8099e-23,2.8099e-23,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:28:00.000,0,16.990,41.8926,58.882,292.092,0.001,2944.3794,342.454,0.000,40.000,-134.987,-99.115,-81.4897,35.8720,193.8689,0.0000,0.0000,0.0000,0.0000,193.8689,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,104.8606,104.8606,50.0000,1.0000,0.000,0.0000,27.8709,27.8709,24.8606,24.8606,1.1557e-22,1.1557e-22,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:29:00.000,0,16.990,41.8926,58.882,290.005,0.001,2996.9166,328.973,0.000,40.000,-135.140,-99.268,-81.6433,35.8720,194.0225,0.0000,0.0000,0.0000,0.0000,194.0225,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,104.7070,104.7070,50.0000,1.0000,0.000,0.0000,27.7173,27.7173,24.7070,24.7070,5.9440e-22,5.9440e-22,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:30:00.000,0,16.990,41.8926,58.882,288.405,0.001,3057.4458,319.072,0.000,40.000,-135.314,-99.442,-81.8170,35.8720,194.1962,0.0000,0.0000,0.0000,0.0000,194.1962,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,104.5333,104.5333,50.0000,1.0000,0.000,0.0000,27.5436,27.5436,24.5333,24.5333,3.5381e-21,3.5381e-21,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:31:00.000,0,16.990,41.8926,58.882,287.167,0.001,3124.5377,311.947,0.000,40.000,-135.502,-99.630,-82.0055,35.8720,194.3847,0.0000,0.0000,0.0000,0.0000,194.3847,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,104.3447,104.3447,50.0000,1.0000,0.000,0.0000,27.3550,27.3550,24.3447,24.3447,2.2686e-20,2.2686e-20,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:32:00.000,0,16.990,41.8926,58.882,286.206,0.001,3196.7120,306.756,0.001,40.000,-135.701,-99.829,-82.2039,35.8720,194.5831,0.0000,0.0000,0.0000,0.0000,194.5831,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,104.1464,104.1464,50.0000,1.0000,0.000,0.0000,27.1567,27.1567,24.1464,24.1464,1.4729e-19,1.4729e-19,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:33:00.000,0,16.990,41.8926,58.882,285.460,0.001,3272.4853,302.882,0.001,40.000,-135.904,-100.032,-82.4073,35.8720,194.7865,0.0000,0.0000,0.0000,0.0000,194.7865,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,103.9429,103.9429,50.0000,1.0000,0.000,0.0000,26.9532,26.9532,23.9429,23.9429,9.2124e-19,9.2124e-19,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:34:00.000,0,16.990,41.8926,58.882,284.886,0.001,3350.4100,299.913,0.001,40.000,-136.109,-100.237,-82.6118,35.8720,194.9909,0.0000,0.0000,0.0000,0.0000,194.9909,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,103.7385,103.7385,50.0000,1.0000,0.000,0.0000,26.7488,26.7488,23.7385,23.7385,5.3447e-18,5.3447e-18,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:35:00.000,0,16.990,41.8926,58.882,284.451,0.001,3429.1011,297.578,0.001,40.000,-136.310,-100.438,-82.8134,35.8720,195.1926,0.0000,0.0000,0.0000,0.0000,195.1926,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,103.5368,103.5368,50.0000,1.0000,0.000,0.0000,26.5471,26.5471,23.5368,23.5368,2.8003e-17,2.8003e-17,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:36:00.000,0,16.990,41.8926,58.882,284.134,0.001,3507.2556,295.695,0.001,40.000,-136.506,-100.634,-83.0091,35.8720,195.3883,0.0000,0.0000,0.0000,0.0000,195.3883,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,103.3411,103.3411,50.0000,1.0000,0.000,0.0000,26.3514,26.3514,23.3411,23.3411,1.3020e-16,1.3020e-16,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:37:00.000,0,16.990,41.8926,58.882,283.915,0.001,3583.6641,294.145,0.001,40.000,-136.693,-100.821,-83.1963,35.8720,195.5755,0.0000,0.0000,0.0000,0.0000,195.5755,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,103.1539,103.1539,50.0000,1.0000,0.000,0.0000,26.1642,26.1642,23.1539,23.1539,5.3176e-16,5.3176e-16,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:38:00.000,0,16.990,41.8926,58.882,283.782,0.001,3657.2170,292.842,0.001,40.000,-136.870,-100.998,-83.3728,35.8720,195.7520,0.0000,0.0000,0.0000,0.0000,195.7520,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.9774,102.9774,50.0000,1.0000,0.000,0.0000,25.9877,25.9877,22.9774,22.9774,1.8990e-15,1.8990e-15,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:39:00.000,0,16.990,41.8926,58.882,283.724,0.001,3726.9077,291.726,0.001,40.000,-137.034,-101.162,-83.5368,35.8720,195.9160,0.0000,0.0000,0.0000,0.0000,195.9160,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.8135,102.8135,50.0000,1.0000,0.000,0.0000,25.8238,25.8238,22.8135,22.8135,5.9248e-15,5.9248e-15,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:40:00.000,0,16.990,41.8926,58.882,283.732,0.001,3791.8325,290.755,0.001,40.000,-137.184,-101.312,-83.6868,35.8720,196.0660,0.0000,0.0000,0.0000,0.0000,196.0660,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.6635,102.6635,50.0000,1.0000,0.000,0.0000,25.6738,25.6738,22.6635,22.6635,1.6180e-14,1.6180e-14,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:41:00.000,0,16.990,41.8926,58.882,283.800,0.001,3851.1894,289.898,0.001,40.000,-137.319,-101.447,-83.8217,35.8720,196.2009,0.0000,0.0000,0.0000,0.0000,196.2009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.5286,102.5286,50.0000,1.0000,0.000,0.0000,25.5389,25.5389,22.5286,22.5286,3.8809e-14,3.8809e-14,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:42:00.000,0,16.990,41.8926,58.882,283.923,0.001,3904.2762,289.132,0.001,40.000,-137.437,-101.566,-83.9406,35.8720,196.3198,0.0000,0.0000,0.0000,0.0000,196.3198,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.4097,102.4097,50.0000,1.0000,0.000,0.0000,25.4200,25.4200,22.4097,22.4097,8.2097e-14,8.2097e-14,3000.0000,-9999.9900,-9999.9900
